id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,baths
1936134,"North Cleveland Park, Forest Hills, Van Ness",38.95442,-77.07159,Entire home/apt,146.0,3,257,1,0,21,4.94,1.0,1.0
1997483,"Capitol Hill, Lincoln Park",38.89014053344727,-77.00020599365234,Entire home/apt,115.0,31,26,19,362,0,4.85,2.0,1.0
2060129,"Capitol Hill, Lincoln Park",38.89068,-77.00155,Entire home/apt,175.0,31,25,19,170,0,4.88,1.0,1.0
2097166,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.90632,-77.08163,Entire home/apt,330.0,5,113,4,154,14,4.8,3.0,5.0
2098615,"Union Station, Stanton Park, Kingman Park",38.9042,-77.00228,Entire home/apt,147.0,3,161,3,90,25,4.81,2.0,5.0
2111965,"Takoma, Brightwood, Manor Park",38.96725,-77.02451,Private room,58.0,1,25,5,352,8,4.64,1.0,1.0
2187594,"Brightwood Park, Crestwood, Petworth",38.95356,-77.03007,Entire home/apt,79.0,3,165,1,332,19,4.98,1.0,1.0
2257433,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9244,-77.03576,Entire home/apt,130.0,28,61,2,39,3,4.61,1.0,5.0
2259215,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9252,-77.03629,Entire home/apt,189.0,3,170,2,77,8,4.43,2.0,2.0
2263350,"Dupont Circle, Connecticut Avenue/K Street",38.90887,-77.04234,Entire home/apt,122.0,31,93,33,138,0,4.65,1.0,1.0
2277705,"Capitol Hill, Lincoln Park",38.8892,-76.98778,Entire home/apt,122.0,3,358,1,100,33,4.87,1.0,1.0
2285431,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91105,-77.08691,Private room,110.0,2,11,2,0,7,4.92,1.0,5.0
2318183,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93443,-77.03307,Entire home/apt,115.0,2,41,1,178,1,4.88,1.0,1.0
2361802,"Capitol Hill, Lincoln Park",38.88277,-77.00837,Entire home/apt,175.0,3,355,1,1,28,4.89,1.0,1.0
2371799,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313,Entire home/apt,193.0,31,14,37,365,0,4.79,2.0,2.0
2466942,"Colonial Village, Shepherd Park, North Portal Estates",38.98661,-77.03505,Private room,140.0,7,55,1,362,1,4.95,3.0,2.0
2501387,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91415,-77.04986,Private room,275.0,31,5,1,365,0,4.4,1.0,1.0
2501531,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92696,-77.05303,Private room,200.0,31,10,2,150,3,5.0,1.0,1.0
2523708,"Douglas, Shipley Terrace",38.84348,-76.97886,Private room,39.0,31,151,2,179,3,4.64,1.0,5.0
2538828,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92865,-77.04022,Entire home/apt,125.0,1,152,1,365,25,4.84,1.0,1.0
2543133,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92365,-76.99386,Entire home/apt,305.0,2,40,1,0,14,4.66,3.0,5.0
2551952,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92245,-77.04053,Entire home/apt,265.0,3,174,1,0,35,4.98,2.0,2.0
2685655,"Georgetown, Burleith/Hillandale",38.9147,-77.06922,Entire home/apt,250.0,4,65,1,135,8,4.78,2.0,5.0
2690487,"Capitol Hill, Lincoln Park",38.88196,-76.99618,Entire home/apt,138.0,1,132,2,91,15,4.7,1.0,1.0
2694647,"Dupont Circle, Connecticut Avenue/K Street",38.91391,-77.04235,Entire home/apt,100.0,31,393,2,13,3,4.73,1.0,1.0
2791050,"Capitol Hill, Lincoln Park",38.88488,-76.98904,Private room,59.0,2,651,3,189,84,4.93,1.0,1.0
3103276,"Capitol Hill, Lincoln Park",38.88488,-76.98904,Private room,61.0,2,640,3,0,79,4.88,1.0,1.0
3136813,"Shaw, Logan Circle",38.90982,-77.03225,Entire home/apt,105.0,3,294,1,146,48,4.68,1.0,1.0
3175218,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93345,-77.02832,Entire home/apt,107.0,2,333,1,46,57,4.95,1.0,1.0
3199232,"Union Station, Stanton Park, Kingman Park",38.89267,-76.9939,Entire home/apt,145.0,2,122,1,336,62,4.96,1.0,1.0
3201115,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90353,-76.99023,Entire home/apt,72.0,2,362,1,308,26,4.62,1.0,1.0
3317645,"Union Station, Stanton Park, Kingman Park",38.90501,-76.99994,Entire home/apt,115.0,2,582,1,305,49,4.9,1.0,1.0
3538921,"Union Station, Stanton Park, Kingman Park",38.90141,-77.00233,Private room,102.0,3,55,1,365,0,4.78,1.0,5.0
3601131,"Shaw, Logan Circle",38.90708,-77.02728,Entire home/apt,124.0,3,163,1,296,40,4.78,1.0,1.0
3627430,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91587,-77.01432,Entire home/apt,108.0,2,422,2,157,52,4.59,2.0,1.0
3635540,"Capitol Hill, Lincoln Park",38.88426,-76.97856,Entire home/apt,125.0,3,179,1,132,25,4.91,1.0,1.0
3637629,"Union Station, Stanton Park, Kingman Park",38.89562,-76.99759,Private room,92.0,2,240,1,73,48,4.83,1.0,1.0
3767679,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92995,-77.09986,Entire home/apt,165.0,2,185,1,360,2,4.7,1.0,1.0
3789313,"Union Station, Stanton Park, Kingman Park",38.89426,-76.98875,Entire home/apt,120.0,31,58,5,180,0,4.6,1.0,1.0
3806145,"Capitol Hill, Lincoln Park",38.88947,-77.00112,Entire home/apt,164.0,31,103,1,0,0,4.93,1.0,1.0
3810218,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93014,-77.03819,Entire home/apt,95.0,31,231,2,160,3,4.9,1.0,1.0
3861766,"Dupont Circle, Connecticut Avenue/K Street",38.91503,-77.0406,Entire home/apt,145.0,14,184,2,0,17,4.93,1.0,1.0
3897112,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91173,-77.00862,Entire home/apt,175.0,2,94,1,107,9,4.97,1.0,1.0
3898306,"Shaw, Logan Circle",38.90593,-77.02447,Entire home/apt,112.0,31,94,33,364,1,4.72,1.0,1.0
3914048,"Brightwood Park, Crestwood, Petworth",38.94068,-77.02655,Entire home/apt,275.0,31,7,1,363,0,4.71,1.0,1.0
3996972,"Kalorama Heights, Adams Morgan, Lanier Heights",38.9139,-77.04834,Entire home/apt,71.0,31,38,4,196,1,4.92,1.0,5.0
3997598,"Georgetown, Burleith/Hillandale",38.90579,-77.06103,Entire home/apt,250.0,3,94,1,294,5,4.76,1.0,1.0
4033904,"Takoma, Brightwood, Manor Park",38.95734,-77.01655,Entire home/apt,95.0,1,46,1,0,22,4.89,1.0,1.0
4054129,"Brightwood Park, Crestwood, Petworth",38.95877,-77.02372,Entire home/apt,70.0,31,28,1,230,3,4.82,1.0,1.0
4083095,"Dupont Circle, Connecticut Avenue/K Street",38.91367,-77.0424,Entire home/apt,113.0,3,405,1,0,42,4.9,1.0,1.0
4085972,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92904,-77.01963,Entire home/apt,93.0,31,127,4,180,2,4.4,1.0,1.0
4092017,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313,Entire home/apt,110.0,31,3,37,363,0,4.67,1.0,1.0
4244705,"Shaw, Logan Circle",38.91243,-77.021,Private room,61.0,2,452,3,329,85,4.84,1.0,1.0
4284144,"Dupont Circle, Connecticut Avenue/K Street",38.91424,-77.0371,Entire home/apt,141.0,3,523,1,198,35,4.74,1.0,1.0
4301665,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93483,-77.03118,Entire home/apt,123.0,2,437,1,6,29,4.84,2.0,2.0
4325533,"Georgetown, Burleith/Hillandale",38.91022,-77.0628,Entire home/apt,145.0,3,197,1,330,11,4.8,1.0,1.0
4408378,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92712,-77.02932,Entire home/apt,128.0,2,448,2,0,61,4.88,2.0,2.0
4416095,"Capitol Hill, Lincoln Park",38.88488,-76.98904,Private room,62.0,2,102,3,8,3,4.85,1.0,1.0
4420920,"Brightwood Park, Crestwood, Petworth",38.93639,-77.04329,Entire home/apt,52.0,1,298,2,0,55,4.87,1.0,1.0
4447266,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313,Entire home/apt,110.0,31,10,37,363,0,4.9,1.0,1.0
4535738,"Brookland, Brentwood, Langdon",38.92383,-76.9837,Entire home/apt,161.0,31,97,1,364,0,4.8,1.0,1.0
4545885,"Union Station, Stanton Park, Kingman Park",38.90164,-77.00206,Entire home/apt,115.0,1,902,3,0,128,4.69,1.0,1.0
4552932,"Union Station, Stanton Park, Kingman Park",38.89784,-77.00262,Entire home/apt,126.0,2,387,1,208,51,4.96,1.0,1.0
4565447,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90593,-76.99748,Entire home/apt,236.0,3,183,1,228,22,4.83,3.0,2.0
4573504,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91782,-77.00959,Entire home/apt,125.0,2,18,1,0,8,4.89,1.0,1.0
4574014,"Union Station, Stanton Park, Kingman Park",38.89703,-76.99279,Entire home/apt,88.0,2,77,1,239,44,4.91,1.0,1.0
4580159,"Capitol Hill, Lincoln Park",38.89053,-77.00139,Entire home/apt,150.0,31,31,19,352,0,4.97,1.0,1.0
4604357,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92264,-77.0455,Entire home/apt,163.0,2,359,1,0,41,4.85,2.0,1.0
4605036,"Brookland, Brentwood, Langdon",38.9266,-76.98704,Entire home/apt,62.0,31,44,1,330,4,4.93,1.0,1.0
4616068,"Union Station, Stanton Park, Kingman Park",38.89282,-77.00072,Entire home/apt,166.0,1,243,3,304,25,4.74,1.0,1.0
4634946,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92372,-77.0289,Private room,68.0,2,312,2,0,10,4.86,2.0,2.0
4635196,"Capitol Hill, Lincoln Park",38.88642,-77.0029,Entire home/apt,180.0,31,14,1,363,0,4.5,1.0,1.0
4708026,"Shaw, Logan Circle",38.91223,-77.0242,Entire home/apt,200.0,2,29,6,363,7,4.38,1.0,1.0
4730124,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91166,-77.01039,Private room,74.0,1,331,2,177,33,4.89,1.0,1.0
4730309,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90987,-77.01164,Entire home/apt,103.0,1,306,2,180,22,4.67,1.0,1.0
4758676,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93505,-77.04363,Entire home/apt,106.0,31,37,1,204,2,4.73,1.0,1.0
4764483,"Union Station, Stanton Park, Kingman Park",38.90116,-77.00373,Entire home/apt,54.0,90,105,1,201,0,4.75,2.0,5.0
4767589,"Brookland, Brentwood, Langdon",38.9263,-76.9802,Entire home/apt,78.0,1,158,1,0,62,4.87,1.0,1.0
4789751,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92256,-77.05624,Entire home/apt,159.0,31,101,1,363,0,4.55,1.0,1.0
4801046,"Capitol Hill, Lincoln Park",38.88559,-76.99939,Entire home/apt,131.0,2,585,1,0,77,4.92,1.0,1.0
4841217,"Capitol Hill, Lincoln Park",38.88414,-76.99663,Entire home/apt,250.0,60,7,3,170,0,5.0,1.0,1.0
4848799,"Capitol Hill, Lincoln Park",38.88974,-76.99921,Private room,135.0,2,123,3,347,22,4.86,1.0,1.0
4887569,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9115,-77.00941,Entire home/apt,58.0,365,70,1,179,0,4.66,1.0,1.0
4922023,"Union Station, Stanton Park, Kingman Park",38.89453,-76.99797,Entire home/apt,110.0,31,425,1,241,3,4.91,1.0,1.0
4928685,"Capitol View, Marshall Heights, Benning Heights",38.8885,-76.91813,Entire home/apt,250.0,3,43,1,25,18,4.86,3.0,2.0
4943572,"West End, Foggy Bottom, GWU",38.89854,-77.04913,Entire home/apt,67.0,31,29,1,75,5,4.83,1.0,1.0
4978586,"Takoma, Brightwood, Manor Park",38.96664,-77.0226,Entire home/apt,52.0,31,58,2,259,0,4.79,1.0,1.0
4978657,"Capitol Hill, Lincoln Park",38.88421,-76.99613,Entire home/apt,225.0,2,38,3,0,6,4.95,1.0,1.0
5003334,"West End, Foggy Bottom, GWU",38.89881,-77.05269,Entire home/apt,120.0,180,42,1,358,0,4.71,1.0,1.0
5012334,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91262,-77.01613,Entire home/apt,150.0,31,40,1,148,1,4.95,2.0,2.0
5014903,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91722,-77.00295,Entire home/apt,139.0,31,59,1,365,0,4.85,1.0,1.0
5018679,"Shaw, Logan Circle",38.91282,-77.03093,Entire home/apt,133.0,15,134,3,232,6,4.84,1.0,1.0
5026926,"Capitol Hill, Lincoln Park",38.88273,-76.99671,Entire home/apt,290.0,2,42,3,304,6,4.88,2.0,1.0
5030765,"Union Station, Stanton Park, Kingman Park",38.90569,-77.00077,Entire home/apt,314.0,2,72,2,222,13,4.89,2.0,2.0
5030785,"Union Station, Stanton Park, Kingman Park",38.90576,-76.99968,Entire home/apt,164.0,2,97,2,222,14,4.89,1.0,1.0
5066458,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91069030761719,-77.00743103027344,Entire home/apt,239.0,1,109,1,0,53,4.82,3.0,5.0
5075773,"Georgetown, Burleith/Hillandale",38.91272,-77.0622,Entire home/apt,220.0,31,461,4,50,34,4.85,1.0,1.0
5076606,"Dupont Circle, Connecticut Avenue/K Street",38.91435,-77.04064,Entire home/apt,163.0,1,85,16,350,32,4.6,2.0,1.0
5082818,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91619,-77.00279,Entire home/apt,285.0,2,159,2,90,15,4.71,4.0,5.0
5089725,"Dupont Circle, Connecticut Avenue/K Street",38.91511,-77.042,Entire home/apt,71.0,31,123,4,196,0,4.85,1.0,5.0
5111311,"Union Station, Stanton Park, Kingman Park",38.8978,-76.9872,Private room,90.0,2,144,4,179,14,4.81,1.0,1.0
5166322,"Georgetown, Burleith/Hillandale",38.91198,-77.0616,Entire home/apt,220.0,31,422,4,50,49,4.87,1.0,1.0
5195346,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",38.8636,-76.95032,Entire home/apt,79.0,31,85,1,179,3,4.71,3.0,1.0
5239084,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92184,-77.04594,Entire home/apt,180.0,2,114,1,324,37,4.82,2.0,1.0
5262416,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91564,-77.01268,Entire home/apt,135.0,3,346,1,236,51,4.97,1.0,1.0
