id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31472311,Home in Washington · ★4.84 · 5 bedrooms · 6 beds · 3 baths,15517555,Ali,,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",38.86441,-76.96274,Entire home/apt,200,3,25,2023-08-18,0.46,1,56,7,Unhosted License: 5007262201000192
31517023,Home in Washington · ★4.93 · Studio · 1 bed · 1 private bath,108050042,Deena,,"North Michigan Park, Michigan Park, University Heights",38.93921,-76.99347,Private room,50,26,15,2023-12-08,0.26,2,62,9,Exempt
31562778,Rental unit in Washington · Studio · 2 beds · 1 bath,236576107,Martha,,"Cathedral Heights, McLean Gardens, Glover Park",38.92339,-77.07299,Entire home/apt,,31,1,2019-02-19,0.02,1,0,0,
31570396,Rental unit in Washington · ★4.97 · Studio · 1 bed · 1 bath,6880365,Kerry,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.91989,-77.03344,Entire home/apt,99,2,275,2023-11-29,4.62,1,0,65,Hosted License: 5007242201000853
31592816,Home in Washington · ★4.76 · 1 bedroom · 3 beds · 1 bath,1158402,Laura,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.86816,-76.98694,Entire home/apt,99,3,294,2023-12-03,4.99,3,92,63,Hosted License: 5007242201000585<br />Unhosted License: 5007262201000586
31599341,Condo in Washington · ★4.71 · 2 bedrooms · 2 beds · 2 baths,128923810,Aziza,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92271,-77.04603,Entire home/apt,158,31,7,2023-08-26,0.13,2,31,2,
31621711,Home in Washington · 1 bedroom · 1 bed · 1 private bath,237064753,Jennifer,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95639,-76.99818,Private room,,31,2,2019-02-01,0.03,1,0,0,
31624271,Townhouse in Washington · ★5.0 · 5 bedrooms · 2 beds · 2.5 baths,5467394,Julie,,"Capitol Hill, Lincoln Park",38.88562,-77.00367,Private room,375,3,17,2023-10-18,0.32,2,53,3,Hosted License: 5007242201001748
31625278,Home in Washington · 3 bedrooms · 3 beds · 2.5 baths,5943445,David,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.86806,-76.96286,Entire home/apt,325,3,0,,,1,364,0,Hosted License: 5007242201002518<br />Unhosted License: 5007262201002480
31643469,Rental unit in Washington · ★4.97 · 2 bedrooms · 2 beds · 1.5 baths,237237007,Bruce,,"Capitol Hill, Lincoln Park",38.88159,-76.99814,Entire home/apt,275,31,74,2022-11-27,1.26,1,365,0,
31708124,Rental unit in Washington · ★4.92 · 1 bedroom · 2 beds · 1 bath,6555931,Dino,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92595,-77.02448,Entire home/apt,106,1,212,2023-12-17,3.65,1,170,67,Hosted License: 5007242201000629
31741258,Home in Washington · ★5.0 · 4 bedrooms · 1 bed · 2 baths,238072632,Caroline,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92747,-77.02519,Private room,,31,7,2019-04-22,0.12,1,0,0,
31758275,Rental unit in Washington · ★4.79 · 2 bedrooms · 2 beds · 1 bath,2530459,Audrey,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91585,-77.01055,Entire home/apt,249,2,77,2023-10-22,1.37,1,249,15,Hosted License: 5007242201001053
31806927,Rental unit in Washington · ★4.10 · 1 bedroom · 2 beds · 1 bath,26877862,Randy,,"Congress Heights, Bellevue, Washington Highlands",38.82553,-77.00933,Entire home/apt,60,31,90,2023-11-17,1.51,2,365,3,
31809354,Rental unit in Washington · ★4.96 · 2 bedrooms · 3 beds · 2 baths,238394816,Lee,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92373,-77.04196,Entire home/apt,255,2,247,2023-11-21,4.18,1,58,35,Hosted License: 5007242201001370<br />Unhosted License: 5007262201002616
31824034,Rental unit in Washington · ★3.60 · 2 bedrooms · 2 beds · 1 bath,210983099,Marc,,"Union Station, Stanton Park, Kingman Park",38.89571,-76.99019,Entire home/apt,149,31,5,2021-05-14,0.10,4,0,0,
31824956,Rental unit in Washington · ★4.96 · 1 bedroom · 2 beds · 1 bath,238503631,Charlie,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92546,-77.0357,Entire home/apt,112,3,71,2023-12-07,1.29,1,71,34,Hosted License: 5007242201000702
31836147,Townhouse in Washington · ★4.86 · 5 bedrooms · 7 beds · 3 baths,9680354,Adam,,"Shaw, Logan Circle",38.91230886684614,-77.02423002268381,Entire home/apt,512,2,163,2023-12-14,2.75,12,343,6,Hosted License: 5007242201001021
31863489,Home in Washington · ★4.67 · 2 bedrooms · 2 beds · 1 private bath,42865328,Mahogany,,"Douglas, Shipley Terrace",38.84781,-76.96959,Private room,45,31,3,2019-10-07,0.05,1,0,0,
31899730,Rental unit in Washington · ★4.63 · 1 bedroom · 1 bed · 1 bath,3448315,Allen,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91065,-77.01552,Entire home/apt,179,31,32,2022-04-30,0.54,21,303,0,
31926078,Home in Washington · 3 bedrooms · 3 beds · 3 baths,8543340,Sandy,,"Union Station, Stanton Park, Kingman Park",38.89319,-77.0018,Entire home/apt,190,45,0,,,1,358,0,
31929526,Townhouse in Washington · ★4.64 · 2 bedrooms · 3 beds · 1 bath,95350797,Oscar,,"Capitol View, Marshall Heights, Benning Heights",38.89091,-76.93671,Entire home/apt,65,31,130,2023-08-07,2.47,1,178,24,Exempt
31953126,Rental unit in Washington · ★4.79 · Studio · 1 bed · 1 bath,239572278,Yan,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92645,-77.04076,Entire home/apt,89,1,89,2023-11-15,1.53,1,145,48,Hosted License: 5007242201001733
31986507,Rental unit in Washington · ★4.82 · 1 bedroom · 2 beds · 1 bath,239817994,Meaghan,,"Capitol Hill, Lincoln Park",38.89191,-76.99871,Entire home/apt,140,2,260,2023-11-14,4.41,1,151,56,Hosted License: 5007242201000046
31987896,Guest suite in Washington · ★4.62 · 1 bedroom · 1 bed · 1 bath,6970679,Kay,,"Shaw, Logan Circle",38.9075,-77.02621,Entire home/apt,135,3,181,2023-11-15,3.07,2,0,37,Hosted License: 5007542201000476
32013688,Home in Washington · ★4.71 · 3 bedrooms · 3 beds · 2.5 baths,113905858,John,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91199,-77.00932,Entire home/apt,,31,21,2019-11-30,0.37,1,0,0,
32021833,Home in Washington · ★4.80 · 1 bedroom · 1 bed · 1 bath,61076428,Sherita,,"Capitol View, Marshall Heights, Benning Heights",38.88961,-76.9258,Entire home/apt,45,2,156,2023-11-19,2.69,1,148,46,Hosted License: 5007242201000156
32041730,Rental unit in Washington · ★4.63 · 2 bedrooms · 4 beds · 1 bath,18493253,Michael,,"Cathedral Heights, McLean Gardens, Glover Park",38.92804,-77.07598,Entire home/apt,188,4,64,2023-06-25,1.09,2,45,2,Hosted License: 5007242201001170
32049221,Rental unit in Washington · ★4.98 · 2 bedrooms · 5 beds · 1 bath,56624653,Abe & Grace,,"Brookland, Brentwood, Langdon",38.93321,-76.99106,Entire home/apt,189,3,119,2023-11-18,2.07,3,0,26,Hosted License: 5007242201000926<br />Unhosted License: 5007262201000927
32065918,Home in Washington · ★4.78 · 5 bedrooms · 6 beds · 3 baths,18493253,Michael,,"Capitol Hill, Lincoln Park",38.88672,-76.98562,Entire home/apt,323,31,37,2021-06-15,0.63,2,256,0,
32069236,Condo in Washington · ★4.85 · 3 bedrooms · 3 beds · 2 baths,3532124,District Cottage,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91213,-77.01572,Entire home/apt,264,1,244,2023-12-08,4.14,8,328,49,Hosted License: 5007242201000343
32071127,Condo in Washington · ★4.82 · 3 bedrooms · 4 beds · 2 baths,3532124,District Cottage,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91005,-77.01506,Entire home/apt,254,1,236,2023-11-15,4.00,8,0,49,Hosted License: 5007242201000343
32082239,Condo in Washington · ★5.0 · 2 bedrooms · 2 beds · 2 baths,57115,Mariana,,"Brightwood Park, Crestwood, Petworth",38.93785,-77.03337,Entire home/apt,,31,4,2021-11-28,0.07,1,0,0,
32082459,Rental unit in Washington · ★5.0 · 2 bedrooms · 2 beds · 1 bath,4276451,Kevin & Orlando,,"Dupont Circle, Connecticut Avenue/K Street",38.90914,-77.03624,Entire home/apt,,31,17,2019-05-26,0.29,1,0,0,
32083321,Guest suite in Washington · ★4.70 · 1 bedroom · 2 beds · 1 bath,2222558,David,,"Takoma, Brightwood, Manor Park",38.9681,-77.02066,Entire home/apt,47,1,167,2023-12-17,2.84,1,0,61,Hosted License: 5007242201001134
32101601,Townhouse in Washington · ★4.84 · 6 bedrooms · 6 beds · 4 baths,3532124,District Cottage,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90991,-77.01421,Entire home/apt,491,1,88,2023-09-24,1.49,8,324,15,Hosted License: 5007242201000343<br />Unhosted License: 5007262201000344
32104084,Rental unit in Washington · ★5.0 · Studio · 1 bed · 1 bath,237463,Caroline,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93528,-77.04472,Entire home/apt,90,2,28,2023-08-13,0.48,1,137,6,Hosted License: 5007242201000845
32105757,Townhouse in Washington · 3 bedrooms · 2 beds · 1 shared bath,62543911,Monica,,"Brightwood Park, Crestwood, Petworth",38.94514,-77.0156,Private room,,31,0,,,5,0,0,
32151631,Townhouse in Washington · ★4.40 · 1 bedroom · 1 bed · 1 shared bath,62543911,Monica,,"Brightwood Park, Crestwood, Petworth",38.9443,-77.01583,Private room,67,31,10,2022-06-10,0.21,5,90,0,
32167524,Townhouse in Washington · ★4.46 · 2 bedrooms · 6 beds · 1 bath,20285809,Rachael,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91138,-77.01449,Entire home/apt,132,31,132,2023-08-01,2.24,2,107,1,
32168514,Home in Washington · ★4.80 · 1 bedroom · 2 beds · 1 bath,73385154,Candice,,"Capitol Hill, Lincoln Park",38.882996,-77.003784,Entire home/apt,116,1,314,2023-12-17,5.33,1,191,94,Hosted License: 5007242201000642
32182085,Rental unit in Washington · ★4.67 · 1 bedroom · 1 bed · 1 bath,216259133,Mahmoud,,"West End, Foggy Bottom, GWU",38.90256,-77.05336,Entire home/apt,139,31,15,2021-04-03,0.26,6,0,0,
32182670,Rental unit in Washington · 2 bedrooms · 2 beds · 2 baths,216259133,Mahmoud,,"West End, Foggy Bottom, GWU",38.90416,-77.05336,Entire home/apt,259,31,2,2021-05-17,0.06,6,0,0,
32202044,Rental unit in Washington · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,"Shaw, Logan Circle",38.9103,-77.02892,Entire home/apt,148,32,1,2020-03-21,0.02,234,266,0,
32202128,Rental unit in Washington · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,"Dupont Circle, Connecticut Avenue/K Street",38.909237,-77.038223,Entire home/apt,161,32,0,,,234,217,0,
32269087,Guest suite in Washington · ★4.95 · 1 bedroom · 1 bed · 1 bath,242138504,Swati And Kumar,,"Friendship Heights, American University Park, Tenleytown",38.94382,-77.08332,Entire home/apt,116,5,220,2023-12-09,3.75,1,3,23,Hosted License: 5007242201000787
32270141,Rental unit in Washington · ★4.96 · 2 bedrooms · 3 beds · 1 bath,242152232,Emre&Brandon,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92459,-77.03116,Entire home/apt,145,31,27,2019-06-12,0.46,1,0,0,
32284361,Rental unit in Washington · ★4.92 · 2 bedrooms · 2 beds · 1 bath,247086,Jordan,,"Brightwood Park, Crestwood, Petworth",38.94231,-77.02228,Entire home/apt,120,4,99,2023-11-27,1.70,1,5,11,Hosted License: 5007242201002408
32298306,Townhouse in Washington · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,62543911,Monica,,"Brightwood Park, Crestwood, Petworth",38.94306,-77.01415,Private room,,31,7,2022-06-04,0.12,5,0,0,
32308418,Townhouse in Washington · ★4.80 · 1 bedroom · 1 bed · 2.5 shared baths,5487930,Mark,,"Dupont Circle, Connecticut Avenue/K Street",38.91171,-77.04559,Private room,75,2,15,2023-09-18,0.26,16,292,4,Hosted License: 5007242100000005
32341970,Home in Washington · ★4.64 · 3 bedrooms · 3 beds · 2.5 baths,2430045,Julie,,"Shaw, Logan Circle",38.91205,-77.02536,Entire home/apt,260,2,27,2023-11-26,0.46,2,0,26,Hosted License: 5007242201002498
32358982,Rental unit in Washington · ★4.56 · 1 bedroom · 2 beds · 1 bath,487806,Stay Bubo,,"Dupont Circle, Connecticut Avenue/K Street",38.91511,-77.04446,Entire home/apt,87,1,118,2023-09-23,2.01,32,73,4,Exempt
32361612,Rental unit in Washington · ★4.79 · 1 bedroom · 1 bed · 1 bath,242984873,Francis,,"Union Station, Stanton Park, Kingman Park",38.89715,-77.0016,Entire home/apt,130,3,138,2023-11-11,2.34,1,330,39,Hosted License: 5007242201000068
32373883,Rental unit in Washington · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,"West End, Foggy Bottom, GWU",38.905065,-77.051708,Entire home/apt,206,32,0,,,234,56,0,
32387655,Home in Washington · 1 bedroom · 1 bed · 1 shared bath,243204916,R,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.94259,-77.00367,Private room,100,2,2,2019-06-30,0.03,1,180,0,Exempt
32420306,Rental unit in Washington · 1 bedroom · 1 bed · 1 bath,16217471,Nathaniel,,"Union Station, Stanton Park, Kingman Park",38.89848,-77.00277,Entire home/apt,175,31,2,2021-03-22,0.06,1,90,0,
32421507,Home in Washington · ★4.91 · 2 bedrooms · 2 beds · 1 bath,108080929,Mark,,"Union Station, Stanton Park, Kingman Park",38.89791,-76.98726,Entire home/apt,90,31,69,2023-03-05,1.18,2,205,1,
32423694,Serviced apartment in Washington · ★4.87 · 2 bedrooms · 4 beds · 2 baths,46582948,Huxley,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90046691894531,-77.01261901855469,Entire home/apt,190,3,78,2023-11-22,1.34,12,0,28,Exempt
32447133,Guest suite in Washington · ★4.88 · 1 bedroom · 1 bed · 1 bath,29407969,Elisabeth,,"Friendship Heights, American University Park, Tenleytown",38.94478,-77.08328,Entire home/apt,136,2,163,2023-11-12,2.79,1,0,28,Hosted License: 5007242201001054
32451420,Guest suite in Washington · ★4.94 · 1 bedroom · 2 beds · 1 bath,5297856,Michael,,"Brightwood Park, Crestwood, Petworth",38.94789,-77.02693,Entire home/apt,120,3,79,2023-11-15,1.37,1,123,19,Hosted License: 5007242201001046
32464624,Townhouse in Washington · ★4.90 · 3 bedrooms · 3 beds · 2 baths,7703359,Dia,,"Capitol Hill, Lincoln Park",38.88292,-76.98664,Entire home/apt,245,3,78,2023-11-25,1.36,2,188,31,Hosted License: 5007242201001854
32476053,Guest suite in Washington · ★4.95 · 1 bedroom · 1 bed · 1 bath,100115861,Keith,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92605,-77.04057,Entire home/apt,,2,38,2020-11-15,0.67,1,0,0,Hosted License: 5007242201001581
32492651,Rental unit in Washington · ★4.93 · 2 bedrooms · 2 beds · 1 bath,75240920,Farrah,,"Dupont Circle, Connecticut Avenue/K Street",38.91132,-77.03589,Entire home/apt,162,31,146,2022-09-03,2.51,3,104,0,
32501240,Rental unit in Washington · ★4.59 · 1 bedroom · 1 bed · 1 bath,241508765,Alan,,"Cathedral Heights, McLean Gardens, Glover Park",38.91897,-77.07932,Entire home/apt,111,31,29,2023-08-13,0.50,2,186,1,
32515738,Townhouse in Washington · ★4.58 · 3 bedrooms · 3 beds · 1 bath,122447633,Senait,,"Brightwood Park, Crestwood, Petworth",38.95907,-77.02405,Entire home/apt,195,3,129,2023-11-26,2.22,1,47,18,Hosted License: 5007242201001864
32521904,Guest suite in Washington · ★4.95 · 1 bedroom · 1 bed · 1 bath,244371151,Vernon,,"Brightwood Park, Crestwood, Petworth",38.94275,-77.03947,Entire home/apt,150,2,99,2023-11-13,1.72,1,0,15,Hosted License: 5007242201001337
32524882,Rental unit in Washington · ★4.72 · 1 bedroom · 1 bed · 1 bath,16644446,Corporate,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87699,-77.01626,Entire home/apt,200,3,32,2022-12-16,0.56,17,45,0,Unhosted License: 5007242100000023
32550823,Rental unit in Washington · ★4.86 · 2 bedrooms · 2 beds · 2 baths,16644446,Corporate,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.8761,-77.01411,Entire home/apt,272,3,21,2022-09-30,0.38,17,37,0,Unhosted License: 5007242100000021
32596929,Guest suite in Washington · 1 bedroom · 1 bed · 1 bath,115261342,Maya,,"North Michigan Park, Michigan Park, University Heights",38.95148,-76.99007,Entire home/apt,71,31,2,2023-08-14,0.30,1,346,2,
