id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,baths
21756049,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92566,-77.03135,Entire home/apt,,31,0,1,0,0,unknown,1,1
21784912,"Union Station, Stanton Park, Kingman Park",38.90546,-77.00552,Entire home/apt,,31,0,1,0,0,unknown,1,1
21788048,"Capitol Hill, Lincoln Park",38.88663,-76.98857,Entire home/apt,294.0,1,185,1,98,40,4.92,3.0,5.0
21793152,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90478,-76.98926,Entire home/apt,85.0,2,453,1,0,77,4.89,1.0,1.0
21821898,"Brookland, Brentwood, Langdon",38.92157,-76.98393,Entire home/apt,92.0,1,423,2,42,37,4.91,unknown,1
21822257,"Near Southeast, Navy Yard",38.87713,-76.98784,Hotel room,29.0,1,28,28,0,16,4.21,2.0,2.0
21869442,"Georgetown, Burleith/Hillandale",38.90955,-77.05489,Entire home/apt,,1,9,5,0,0,4.78,2.0,5.0
21879862,"Union Station, Stanton Park, Kingman Park",38.9024,-76.99078,Entire home/apt,150.0,2,35,1,364,25,4.83,2.0,5.0
21885282,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93563,-77.0314,Private room,57.0,1,180,5,0,71,4.59,1,unknown
21887183,"Brightwood Park, Crestwood, Petworth",38.93662,-77.0294,Entire home/apt,90.0,1,240,1,175,44,4.85,1.0,1.0
21891422,"Sheridan, Barry Farm, Buena Vista",38.85829,-76.9916,Entire home/apt,,31,9,1,0,0,4.89,1.0,2.0
21899068,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91825,-77.01396,Entire home/apt,95.0,3,239,1,0,10,4.88,unknown,1
21907535,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91715,-77.00186,Entire home/apt,,31,0,1,0,0,unknown,2,2
21922313,"West End, Foggy Bottom, GWU",38.903,-77.05091,Private room,,31,0,1,0,0,unknown,2,1
21926539,"Ivy City, Arboretum, Trinidad, Carver Langston",38.9041,-76.97904,Entire home/apt,,31,38,1,0,0,4.53,1.0,1.0
21945058,"Ivy City, Arboretum, Trinidad, Carver Langston",38.9159,-76.9836,Entire home/apt,,31,7,1,0,0,4.86,unknown,1
21945253,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92052,-77.03582,Private room,,31,0,1,0,0,unknown,1,unknown
21962401,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93692,-77.03263,Private room,56.0,1,373,5,362,60,4.49,1,unknown
21976567,"Brightwood Park, Crestwood, Petworth",38.94878,-77.02984,Entire home/apt,144.0,2,206,3,150,28,4.79,unknown,1
21994848,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92476,-77.10143,Entire home/apt,102.0,31,221,4,331,37,4.81,unknown,1
21998156,"Union Station, Stanton Park, Kingman Park",38.8969,-76.98716,Private room,,31,34,2,0,0,4.91,1,unknown
22012269,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92641,-77.10285,Entire home/apt,105.0,31,195,4,351,32,4.72,1.0,1.0
22025910,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89776,-77.01941,Entire home/apt,,31,0,4,0,0,unknown,2,2
22048871,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92647,-77.02754,Entire home/apt,100.0,3,218,2,0,60,4.82,1.0,1.0
22062712,"Brightwood Park, Crestwood, Petworth",38.94358,-77.03729,Entire home/apt,,2,61,1,0,0,4.93,2.0,1.0
22075568,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90508,-77.0281,Private room,55.0,31,15,5,232,1,4.6,1,unknown
22076921,"Kalorama Heights, Adams Morgan, Lanier Heights",38.9216,-77.04326,Entire home/apt,119.0,31,227,5,365,30,4.53,1.0,1.0
22084822,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92881,-76.9943,Private room,,31,41,1,0,0,4.54,1,unknown
22115415,"Union Station, Stanton Park, Kingman Park",38.89379,-76.9917,Entire home/apt,90.0,2,354,2,0,68,4.93,unknown,1
22139377,"Capitol Hill, Lincoln Park",38.88129,-76.98822,Entire home/apt,,31,54,1,0,0,4.96,unknown,1
22162839,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.86904,-76.96532,Entire home/apt,,31,1,1,0,0,unknown,3,1
22187642,"Capitol View, Marshall Heights, Benning Heights",38.88447,-76.92891,Private room,57.0,14,48,2,347,8,4.96,1.0,1.0
22193388,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9249,-77.00871,Entire home/apt,,31,29,1,0,0,4.55,1.0,1.0
22202025,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93535,-77.03118,Entire home/apt,,31,0,1,0,0,unknown,2,5
22229408,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92217,-77.00045,Private room,,31,20,1,0,0,4.85,1.0,1.0
22244228,"Brightwood Park, Crestwood, Petworth",38.94575,-77.02735,Entire home/apt,350.0,31,34,1,179,1,4.71,4.0,2.0
22265652,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93175,-77.03918,Entire home/apt,,31,2,1,0,0,unknown,1,1
22265966,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92491,-77.10088,Entire home/apt,136.0,31,293,4,226,44,4.82,unknown,1
22266299,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92637,-77.10271,Entire home/apt,97.0,31,256,4,338,38,4.74,unknown,1
22268306,"Brightwood Park, Crestwood, Petworth",38.9584,-77.02913,Entire home/apt,,31,1,1,0,0,unknown,1,1
22300841,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93691,-77.03247,Entire home/apt,109.0,2,281,1,0,55,4.92,1.0,1.0
22308082,"Union Station, Stanton Park, Kingman Park",38.89259,-76.98943,Entire home/apt,157.0,2,260,1,165,17,4.78,2.0,1.0
22325323,"Capitol Hill, Lincoln Park",38.88329,-76.97738,Entire home/apt,79.0,2,56,1,89,44,4.88,unknown,1
22342450,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92024,-77.04684,Shared room,,31,1,1,0,0,unknown,1,unknown
22342950,"Congress Heights, Bellevue, Washington Highlands",38.83984,-76.99093,Entire home/apt,75.0,31,32,2,180,1,4.97,1.0,1.0
22352986,"Capitol View, Marshall Heights, Benning Heights",38.87995,-76.9287,Entire home/apt,,1,21,1,0,0,4.76,1.0,1.0
22372488,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.033127,Entire home/apt,128.0,31,6,43,363,0,3.83,1.0,1.0
22372846,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.033127,Entire home/apt,225.0,31,35,43,365,0,4.29,2.0,2.0
22375408,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.033127,Entire home/apt,225.0,31,0,43,365,0,unknown,2,2
22375645,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.93797,-77.01725,Entire home/apt,105.0,3,16,2,225,7,5.0,1.0,1.0
22392135,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90349,-77.01974,Entire home/apt,109.0,2,282,1,0,63,4.85,unknown,1
22397505,Historic Anacostia,38.86156,-76.988,Entire home/apt,,31,126,2,0,0,4.83,1.0,1.0
22416682,"Union Station, Stanton Park, Kingman Park",38.89429,-76.99356,Private room,110.0,1,439,1,0,108,4.95,1.0,1.0
22448594,"Capitol Hill, Lincoln Park",38.88287,-77.00113,Entire home/apt,,31,72,1,0,0,4.9,unknown,1
22479866,"Takoma, Brightwood, Manor Park",38.9692,-77.02507,Private room,44.0,60,5,8,135,2,4.6,1,unknown
